day,activity_time,activity_type
11/16/2022 0:00:00,120,medium
8/27/2022 0:00:00,1560,medium
9/5/2022 0:00:00,1620,medium
7/27/2022 0:00:00,1080,medium
11/18/2022 0:00:00,1380,medium
7/19/2022 0:00:00,1260,medium
7/22/2022 0:00:00,0,medium
8/28/2022 0:00:00,1320,medium
3/4/2023 0:00:00,900,medium
7/18/2022 0:00:00,1680,medium
7/24/2022 0:00:00,0,medium
8/31/2022 0:00:00,1380,medium
9/3/2022 0:00:00,1080,medium
2/16/2023 0:00:00,1500,medium
2/18/2023 0:00:00,1920,medium
2/26/2023 0:00:00,120,medium
9/15/2022 0:00:00,1920,medium
11/10/2022 0:00:00,2040,medium
1/30/2023 0:00:00,2760,medium
7/5/2022 0:00:00,540,medium
7/8/2022 0:00:00,1560,medium
9/10/2022 0:00:00,2220,medium
9/11/2022 0:00:00,900,medium
10/2/2022 0:00:00,1380,medium
10/3/2022 0:00:00,0,medium
10/11/2022 0:00:00,900,medium
12/8/2022 0:00:00,960,medium
1/1/2023 0:00:00,1020,medium
2/25/2023 0:00:00,1800,medium
3/8/2023 0:00:00,4020,medium
3/23/2023 0:00:00,2400,medium
7/13/2022 0:00:00,1980,medium
8/2/2022 0:00:00,2400,medium
8/3/2022 0:00:00,1380,medium
8/4/2022 0:00:00,1680,medium
8/9/2022 0:00:00,1800,medium
10/9/2022 0:00:00,1440,medium
10/12/2022 0:00:00,2880,medium
11/30/2022 0:00:00,1380,medium
1/2/2023 0:00:00,2700,medium
3/21/2023 0:00:00,480,medium
12/5/2022 0:00:00,2220,medium
3/10/2023 0:00:00,4380,medium
6/29/2022 0:00:00,1020,medium
7/16/2022 0:00:00,240,medium
8/13/2022 0:00:00,840,medium
9/18/2022 0:00:00,3600,medium
11/27/2022 0:00:00,2880,medium
1/9/2023 0:00:00,2160,medium
2/9/2023 0:00:00,3660,medium
2/10/2023 0:00:00,3300,medium
2/13/2023 0:00:00,3840,medium
1/22/2023 0:00:00,0,medium
6/22/2022 0:00:00,360,medium
6/23/2022 0:00:00,2220,medium
9/13/2022 0:00:00,3540,medium
10/7/2022 0:00:00,0,medium
9/26/2022 0:00:00,1380,medium
11/1/2022 0:00:00,3060,medium
1/3/2023 0:00:00,2940,medium
2/19/2023 0:00:00,5580,medium
3/22/2023 0:00:00,960,medium
7/4/2022 0:00:00,720,medium
7/12/2022 0:00:00,1860,medium
9/19/2022 0:00:00,1740,medium
10/17/2022 0:00:00,1620,medium
11/2/2022 0:00:00,2880,medium
12/12/2022 0:00:00,2940,medium
12/26/2022 0:00:00,840,medium
1/6/2023 0:00:00,3360,medium
1/27/2023 0:00:00,1020,medium
3/16/2023 0:00:00,3720,medium
6/28/2022 0:00:00,1080,medium
8/18/2022 0:00:00,2280,medium
9/25/2022 0:00:00,1260,medium
10/15/2022 0:00:00,1620,medium
11/4/2022 0:00:00,0,medium
11/28/2022 0:00:00,2340,medium
12/2/2022 0:00:00,2460,medium
1/7/2023 0:00:00,840,medium
1/14/2023 0:00:00,3300,medium
7/2/2022 0:00:00,1200,medium
12/4/2022 0:00:00,2880,medium
8/19/2022 0:00:00,4320,medium
9/23/2022 0:00:00,5520,medium
6/21/2022 0:00:00,0,medium
8/20/2022 0:00:00,4080,medium
9/4/2022 0:00:00,840,medium
11/24/2022 0:00:00,600,medium
3/1/2023 0:00:00,1560,medium
11/17/2022 0:00:00,540,medium
10/4/2022 0:00:00,2580,medium
11/19/2022 0:00:00,2040,medium
11/22/2022 0:00:00,1080,medium
11/23/2022 0:00:00,2580,medium
2/27/2023 0:00:00,2100,medium
3/5/2023 0:00:00,660,medium
7/30/2022 0:00:00,900,medium
11/12/2022 0:00:00,960,medium
11/13/2022 0:00:00,60,medium
11/20/2022 0:00:00,1500,medium
11/21/2022 0:00:00,1320,medium
2/1/2023 0:00:00,2760,medium
7/9/2022 0:00:00,360,medium
7/21/2022 0:00:00,2040,medium
10/23/2022 0:00:00,840,medium
11/11/2022 0:00:00,900,medium
12/7/2022 0:00:00,2520,medium
1/5/2023 0:00:00,2220,medium
2/22/2023 0:00:00,1260,medium
2/24/2023 0:00:00,1380,medium
8/8/2022 0:00:00,1800,medium
9/17/2022 0:00:00,1560,medium
10/20/2022 0:00:00,1440,medium
2/2/2023 0:00:00,3240,medium
3/7/2023 0:00:00,3720,medium
7/6/2022 0:00:00,2160,medium
7/15/2022 0:00:00,2760,medium
7/31/2022 0:00:00,1680,medium
8/24/2022 0:00:00,480,medium
8/25/2022 0:00:00,960,medium
10/13/2022 0:00:00,1920,medium
12/24/2022 0:00:00,2640,medium
12/27/2022 0:00:00,1860,medium
2/7/2023 0:00:00,2820,medium
3/9/2023 0:00:00,4140,medium
3/26/2023 0:00:00,2880,medium
7/10/2022 0:00:00,5700,medium
8/11/2022 0:00:00,2700,medium
8/14/2022 0:00:00,2040,medium
9/28/2022 0:00:00,1980,medium
11/29/2022 0:00:00,1980,medium
12/6/2022 0:00:00,2700,medium
12/25/2022 0:00:00,1620,medium
12/30/2022 0:00:00,3180,medium
1/23/2023 0:00:00,1980,medium
1/24/2023 0:00:00,2880,medium
1/8/2023 0:00:00,4140,medium
1/20/2023 0:00:00,5160,medium
2/14/2023 0:00:00,0,medium
3/12/2023 0:00:00,1920,medium
2/12/2023 0:00:00,1380,medium
8/26/2022 0:00:00,1140,medium
9/7/2022 0:00:00,2820,medium
10/10/2022 0:00:00,1560,medium
10/16/2022 0:00:00,120,medium
11/9/2022 0:00:00,1800,medium
2/3/2023 0:00:00,1500,medium
7/7/2022 0:00:00,420,medium
7/14/2022 0:00:00,600,medium
10/19/2022 0:00:00,1200,medium
10/22/2022 0:00:00,1920,medium
10/30/2022 0:00:00,1920,medium
12/11/2022 0:00:00,1020,medium
12/20/2022 0:00:00,1740,medium
12/22/2022 0:00:00,2280,medium
12/28/2022 0:00:00,2100,medium
1/17/2023 0:00:00,2820,medium
3/25/2023 0:00:00,1380,medium
7/1/2022 0:00:00,2160,medium
7/11/2022 0:00:00,600,medium
8/5/2022 0:00:00,1800,medium
11/3/2022 0:00:00,2940,medium
11/8/2022 0:00:00,60,medium
12/29/2022 0:00:00,2940,medium
1/16/2023 0:00:00,2760,medium
1/19/2023 0:00:00,600,medium
3/20/2023 0:00:00,4680,medium
6/27/2022 0:00:00,1920,medium
8/10/2022 0:00:00,2760,medium
9/22/2022 0:00:00,4620,medium
9/27/2022 0:00:00,3600,medium
12/17/2022 0:00:00,1440,medium
1/10/2023 0:00:00,3240,medium
1/11/2023 0:00:00,1800,medium
1/15/2023 0:00:00,2640,medium
1/25/2023 0:00:00,2160,medium
2/8/2023 0:00:00,3960,medium
3/13/2023 0:00:00,3420,medium
8/21/2022 0:00:00,1200,medium
1/21/2023 0:00:00,3120,medium
9/1/2022 0:00:00,1140,medium
1/29/2023 0:00:00,600,medium
2/4/2023 0:00:00,1260,medium
9/16/2022 0:00:00,2640,medium
12/10/2022 0:00:00,720,medium
12/3/2022 0:00:00,1740,medium
9/21/2022 0:00:00,2520,medium
10/14/2022 0:00:00,1020,medium
7/28/2022 0:00:00,2220,medium
9/30/2022 0:00:00,2160,medium
10/28/2022 0:00:00,1560,medium
1/4/2023 0:00:00,2160,medium
11/7/2022 0:00:00,2640,medium
9/29/2022 0:00:00,2580,medium
8/17/2022 0:00:00,2820,medium
11/15/2022 0:00:00,60,medium
8/29/2022 0:00:00,2400,medium
2/28/2023 0:00:00,240,medium
3/2/2023 0:00:00,1320,medium
7/25/2022 0:00:00,1380,medium
2/17/2023 0:00:00,1500,medium
7/26/2022 0:00:00,2460,medium
10/6/2022 0:00:00,840,medium
10/24/2022 0:00:00,1140,medium
1/31/2023 0:00:00,1320,medium
7/29/2022 0:00:00,2040,medium
2/20/2023 0:00:00,2220,medium
8/30/2022 0:00:00,1620,medium
9/8/2022 0:00:00,660,medium
7/17/2022 0:00:00,60,medium
10/21/2022 0:00:00,1860,medium
2/21/2023 0:00:00,2760,medium
2/23/2023 0:00:00,1620,medium
3/6/2023 0:00:00,3420,medium
10/26/2022 0:00:00,1080,medium
2/5/2023 0:00:00,600,medium
